Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0639216007821218,2.50000000135633E-07,0.03175025,0,0,0,4.03789466778979,0.0195020458111268,-1.19609567211315E-18,-6.07844159684413E-19,0.0213128025674687,-9.18669816230362E-18,0.0217262626838225,0,0,0,0,0,0,package://snakebot/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/base_link.STL,,head-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rod_one,-2.77555756156289E-17,0.03175025,-2.49999999902433E-07,0,0,0,0.0918944415792056,0.000255192786793957,-2.25062568663077E-35,2.02955234186608E-38,1.73749647082541E-05,-1.45616607989176E-20,0.000255192786793957,0,0,0,0,0,0,package://snakebot/meshes/rod_one.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/rod_one.STL,,rod-1,Origin_rod_one_joint,Axis_rod_one_joint,rod_one_joint,revolute,0.2159,0,0,3.1416,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
link_one,0.108134816869862,2.4999999991976E-07,0.03175025,0,0,0,1.81171202338979,0.0108247383421743,9.17695303542428E-19,5.66724782894164E-18,0.0163774506729606,2.88680865087431E-18,0.0145277465617457,0,0,0,0,0,0,package://snakebot/meshes/link_one.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/link_one.STL,,link-1,Origin_link_one_joint,Axis_link_one_joint,link_one_joint,fixed,0,0,0,-1.5708,0,0,rod_one,0,0,1,,,,,,,,,,,,
rod_three,0,2.50000000631689E-07,-2.77555756156289E-17,0,0,0,0.0918944415792056,0.000255192786793957,-2.25062568663077E-35,2.02955234186622E-38,1.73749647082541E-05,0,0.000255192786793957,0,0,0,0,0,0,package://snakebot/meshes/rod_three.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/rod_three.STL,,rod-3,Origin_rod_three,Axis_rod_three,rod_three,revolute,0.2159,0,0.03175,0,0,0,link_one,0,1,0,0,0,0,0,,,,,,,,
link_two,0.108134816869861,-9.08995101411847E-16,-2.50000000946159E-07,0,0,0,1.81171202338979,0.0108247383421743,2.75510330321956E-17,2.88646290337515E-18,0.0163774506729606,2.23652043597518E-18,0.0145277465617457,0,0,0,0,0,0,package://snakebot/meshes/link_two.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/link_two.STL,,link-2,Origin_link_two_joint,Axis_link_two_joint,link_two_joint,fixed,0,0,0,1.5708,0,0,rod_three,0,0,1,,,,,,,,,,,,
rod_four,-1.05486370749475E-08,-4.02455846426619E-16,-2.49777354330988E-07,0,0,0,0.0918944415792057,0.000255192786793957,1.34198587880627E-21,1.46419576338424E-34,1.73749647082543E-05,-2.41848302391192E-19,0.000255192786793957,0,0,0,0,0,0,package://snakebot/meshes/rod_four.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/rod_four.STL,,rod-4,Origin_rod_four_joint,Axis_rod_four_joint,rod_four_joint,revolute,0.2159,0,0,0,-0.042207,0,link_two,0,1,0,0,0,0,0,,,,,,,,
link_three,0.108134816869862,2.50000000482369E-07,-2.28983498828939E-16,0,0,0,1.81171202338979,0.0108247383421743,-2.22348859240147E-18,-3.10829271038139E-19,0.0163774506729606,2.69990290170494E-18,0.0145277465617457,0,0,0,0,0,0,package://snakebot/meshes/link_three.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/link_three.STL,,link-3,Origin_link_three_joint,Axis_link_three_joint,link_three_joint,fixed,0,0,0,-1.5708,0.042207,0,rod_four,0,0,1,,,,,,,,,,,,
rod_five,0,2.50000001943166E-07,-2.77555756156289E-17,0,0,0,0.0918944415792056,0.000255192786793957,-2.25062568663077E-35,2.02955234186622E-38,1.73749647082541E-05,0,0.000255192786793957,0,0,0,0,0,0,package://snakebot/meshes/rod_five.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/rod_five.STL,,rod-5,Origin_rod_five_joint,Axis_rod_five_joint,rod_five_joint,revolute,0.2159,0,0,0,0,0,link_three,0,1,0,0,0,0,0,,,,,,,,
link_four,0.108134816869862,1.94289029309402E-15,-2.50000002816091E-07,0,0,0,1.8117120233898,0.0108247383421743,-1.29294003743437E-16,6.4661556666515E-18,0.0163774506729606,3.12080910628672E-18,0.0145277465617457,0,0,0,0,0,0,package://snakebot/meshes/link_four.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/link_four.STL,,link-4,Origin_link_four_joint,Axis_link_four_joint,link_four_joint,fixed,0,0,0,1.5708,0,0,rod_five,0,0,1,,,,,,,,,,,,
rod_six,0,-3.33066907387547E-16,-2.50000002879444E-07,0,0,0,0.0918944415792057,0.000255192786793957,1.24176970904253E-20,-1.31347269856205E-35,1.73749647082543E-05,3.80576611124826E-19,0.000255192786793957,0,0,0,0,0,0,package://snakebot/meshes/rod_six.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/rod_six.STL,,rod-6,Origin_rod_six_joint,Axis_rod_six_joint,rod_six_joint,revolute,0.2159,0,0,0,0,0,link_four,0,1,0,0,0,0,0,,,,,,,,
link_five,0.108134816869862,2.5000000203477E-07,-0.0100000000000007,0,0,0,1.81171202338979,0.0108247383421743,2.20952690995783E-18,2.70164781319348E-18,0.0163774506729606,1.99877588013663E-18,0.0145277465617457,0,0,0,0,0,0,package://snakebot/meshes/link_five.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/link_five.STL,,link-5,Origin_link_five_joint,Axis_link_five_joint,link_five_joint,fixed,0,0.01,0,-1.5708,0,0,rod_six,0,0,1,,,,,,,,,,,,
rod_seven,0,2.50000001464357E-07,-2.77555756156289E-17,0,0,0,0.0918944415792056,0.000255192786793957,-2.25062568663077E-35,2.02955234186625E-38,1.73749647082541E-05,-1.87011377448796E-36,0.000255192786793957,0,0,0,0,0,0,package://snakebot/meshes/rod_seven.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/rod_seven.STL,,rod-7,Origin_rod_seven_joint,Axis_rod_seven_joint,rod_seven_joint,revolute,0.2159,0,-0.01,0,0,0,link_five,0,1,0,0,0,0,0,,,,,,,,
link_six,0.108134816869862,-1.00613961606655E-15,-2.50000002533529E-07,0,0,0,1.81171202338979,0.0108247383421743,-2.90649670899481E-19,4.12960469632366E-18,0.0163774506729606,2.61190329238053E-18,0.0145277465617457,0,0,0,0,0,0,package://snakebot/meshes/link_six.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/link_six.STL,,link-6,Origin_link_six_joint,Axis_link_six_joint,link_six_joint,fixed,0,0,0,1.5708,0,0,rod_seven,0,0,1,,,,,,,,,,,,
rod_eight,-2.22044604925031E-16,-1.14491749414469E-15,-2.50000002532371E-07,0,0,0,0.0918944415792056,0.000255192786793956,-4.3123656691029E-36,1.87029967423402E-38,1.7374964708254E-05,4.48418013055967E-19,0.000255192786793956,0,0,0,0,0,0,package://snakebot/meshes/rod_eight.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/rod_eight.STL,,rod-8,Origin_rod_eight_joint,Axis_rod_eight_joint,rod_eight_joint,revolute,0.2159,0,0,0,0,0,link_six,0,1,0,0,0,0,0,,,,,,,,
link_seven,0.108134816869862,2.50000001378728E-07,-0.010000000000001,0,0,0,1.81171202338979,0.0108247383421743,2.19792324653082E-18,2.01299652722964E-18,0.0163774506729606,2.02768587835187E-18,0.0145277465617457,0,0,0,0,0,0,package://snakebot/meshes/link_seven.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/link_seven.STL,,link-7,Origin_link_seven_joint,Axis_link_seven_joint,link_seven_joint,fixed,0,0.01,0,-1.5708,0,0,rod_eight,0,0,1,,,,,,,,,,,,
rod_nine,0,2.50000001519868E-07,-2.77555756156289E-17,0,0,0,0.0918944415792055,0.000255192786793957,-2.25062568663077E-35,2.02955234186625E-38,1.73749647082541E-05,4.4723784443819E-36,0.000255192786793957,0,0,0,0,0,0,package://snakebot/meshes/rod_nine.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/rod_nine.STL,,rod-9,Origin_rod_nine_joint,Axis_rod_nine_joint,rod_nine_joint,revolute,0.2159,0,-0.01,0,0,0,link_seven,0,1,0,0,0,0,0,,,,,,,,
link_eight,0.108134816869862,1.36002320516582E-15,-2.50000001541354E-07,0,0,0,1.81171202338979,0.0108247383421743,1.7859462693596E-18,3.27992460955047E-18,0.0163774506729606,2.86610350811681E-18,0.0145277465617457,0,0,0,0,0,0,package://snakebot/meshes/link_eight.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/link_eight.STL,,link-8,Origin_link_eight_joint,Axis_link_eight_joint,link_eight_joint,fixed,0,0,0,1.5708,0,0,rod_nine,0,0,1,,,,,,,,,,,,
rod_ten,4.44089209850063E-16,1.4432899320127E-15,-2.5000000142519E-07,0,0,0,0.0918944415792056,0.000255192786793957,-2.25062568663077E-35,2.02955234186611E-38,1.73749647082541E-05,-1.45616607989176E-20,0.000255192786793957,0,0,0,0,0,0,package://snakebot/meshes/rod_ten.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/rod_ten.STL,,rod-10,Origin_rod_ten_joint,Axis_rod_ten_joint,rod_ten_joint,revolute,0.2159,0,0,0,0,0,link_eight,0,1,0,0,0,0,0,,,,,,,,
link_nine,0.108134816869861,2.50000001460126E-07,1.38777878078145E-15,0,0,0,1.81171202338979,0.0108247383421743,1.00081686808064E-18,1.2694508216304E-18,0.0163774506729606,1.38084192282752E-18,0.0145277465617456,0,0,0,0,0,0,package://snakebot/meshes/link_nine.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/link_nine.STL,,link-9,Origin_link_nine_joint,Axis_link_nine_joint,link_nine_joint,fixed,0,0,0,-1.5708,0,0,rod_ten,0,0,1,,,,,,,,,,,,
rod_eleven,4.44089209850063E-16,2.50000001408845E-07,-1.38777878078145E-17,0,0,0,0.0918944415792056,0.000255192786793957,-2.25062568663077E-35,2.02955234186625E-38,1.73749647082541E-05,0,0.000255192786793957,0,0,0,0,0,0,package://snakebot/meshes/rod_eleven.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/rod_eleven.STL,,rod-11,Origin_rod_eleven_joint,Axis_rod_eleven_joint,rod_eleven_joint,revolute,0.2159,0,0,0,0,0,link_nine,0,1,0,0,0,0,0,,,,,,,,
link_ten,0.108134816869861,2.77555756156289E-17,-2.50000001320092E-07,0,0,0,1.8117120233898,0.0108247383421744,-2.94880587434982E-19,2.50660072501675E-17,0.0163774506729606,6.8272463209438E-19,0.0145277465617457,0,0,0,0,0,0,package://snakebot/meshes/link_ten.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://snakebot/meshes/link_ten.STL,,link-10,Origin_link_ten_joint,Axis_link_ten_joint,link_ten_joint,fixed,0,0,0,1.5708,0,0,rod_eleven,0,0,1,,,,,,,,,,,,
